	target_text	input_text	prefix
162	are there opening in the fingers or are they solid?	The Turbo Power Diffuser is the perfect addition to any hair dryer!	ask_question
33	Does anyone know if this fragrance is similar to perfume Revlon Intimate, made many years ago?	Introduced in 1989. Fragrance notes are red roses and orchids blend with other exotic flowers honey and spice, very sensual. Recommended use for romantic wear.	ask_question
29	is this really made by bulgary or is it a copy?		ask_question
200	"I can easily get static when I use ""natural"" shampoo. Does anybody have static issues with this? Do I need to use the conditioner?"	Natural Shampoo with Kukui Nut Oil. Natural Lavender Scent.	ask_question
168	what cream do you use?	Soothes and nourishes skin and nails while replenishing the natural moisture balance in hands. Helps relieve the pain of arthritis and other painful conditions.	ask_question
154	"What size ring(s) would fit the ""wedding ring finger"" on the hand please?"	The Diane Practice Hand is perfect for students and professional nail technicians. Great for practicing all types of nail applications. Accomodates acrylic applications.	ask_question
321	Drawer heights?		ask_question
54	Is this good for making lipstick, I've used beet powder which doesn't work. Recipe suggests Australian Red Reef Clay ...	100% Pure Facial Detox/Sensitive Skin Types Condition: Sensitive Skin in need of detoxification to remove impurities and in need of a smaller pore size and tighter skin tone. Solution: Moroccan Red Clay is an all-natural powder clay that is highly absorbent and mixes easily with water and other moisturizing products. It serves as an excellent facial cleanser and purifying masque, especially for individuals with sensitive skin.	ask_question
257	is this make-up grade glitter? can it be used with face painting? what are the ingredients????		ask_question
115	scar	Intense Defense with Vitamin C Renewal CreamThis product replaces Vitamin C Renewal Cream. The antioxidant-intensive formula in the bottle remains unchanged. The antioxidant-intensive formula in the jar remains unchanged.RENEWAL CREAM is a rich, emollient moisturizer that encourages collagen and elastin production to strengthen skin's underlying support structure so the surface feels soft and resilient and signs of aging fade.StandardsCertified by QAI to NSF/ANSI 305, the American National Standard for personal care products containing organic ingredientsContains 70% organic content100% vegetarian ingredients<br>Directions Applying to freshly cleansed face and neck completes an antioxidant-intensive regimen. Maximize results by using at night while skin undergoes its natural renewal cycle. Intense Defense Sheer Moisture SPF 10 is recommended if sun exposure is expected.<br>Other Ingredients: Aloe Barbadensis Leaf Juice(1), Aqua (Water), Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil(1), Glycerin, Glyceryl Stearate, Myristyl Myristate, Glyceryl Stearate Citrate, Cetyl Alcohol, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter(1), Borago Officinalis Seed Oil(1), Linum Usitatissimum (Linseed) Seed Oil(1), Prunus Amygdalus Dulcis (Sweet Almond) Oil(1), Rosa Canina Fruit Oil(1), Arnica Montana Flower Extract(1), Calendula Officinalis Flower Extract(1), Camellia Sinensis Leaf Extract (White Tea)(1), Chamomilla Recutita (Matricaria) Flower Extract(1), Citrus Limon (Lemon) Peel Extract (Lemon Bioflavonoids), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract(1), Olea Europaea (Olive) Leaf Extract(1), Saccharomyces/Xylinum/Black Tea Ferment(1), Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ascorbic Acid, Polyglyceryl-6 Distearate, Squalane, Tocopheryl Acetate, Xanthan Gum, Alcohol(1), Glyceryl Ca	ask_question
292	I have several dental implants. I can not use anything that send electrical shocks into my face.. What do you recommend ?		ask_question
191	- What are the dimensions of this item?		ask_question
49	Do you ship to Hawaii	', '<strong>GiGi Mini Pro Hair Removal Waxing Kit</strong> is the ideal starter kit for the beginners in hair waxing or the price conscious professional. This kit contains all the necessary waxing essentials for a complete professional service. When you are ready to expand your salon menu to include profitable waxing services, <strong>GiGi Mini Pro Hair Removal Waxing Kit</strong> is the perfect choice.', '<strong>GiGi Mini Pro Hair Removal Waxing Kit includes:</strong>	ask_question
112	"Are the reviews that the ""new formula"" is not as good as the original true?"	Intense Defense with Vitamin C Renewal CreamThis product replaces Vitamin C Renewal Cream. The antioxidant-intensive formula in the bottle remains unchanged. The antioxidant-intensive formula in the jar remains unchanged.RENEWAL CREAM is a rich, emollient moisturizer that encourages collagen and elastin production to strengthen skin's underlying support structure so the surface feels soft and resilient and signs of aging fade.StandardsCertified by QAI to NSF/ANSI 305, the American National Standard for personal care products containing organic ingredientsContains 70% organic content100% vegetarian ingredients<br>Directions Applying to freshly cleansed face and neck completes an antioxidant-intensive regimen. Maximize results by using at night while skin undergoes its natural renewal cycle. Intense Defense Sheer Moisture SPF 10 is recommended if sun exposure is expected.<br>Other Ingredients: Aloe Barbadensis Leaf Juice(1), Aqua (Water), Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil(1), Glycerin, Glyceryl Stearate, Myristyl Myristate, Glyceryl Stearate Citrate, Cetyl Alcohol, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter(1), Borago Officinalis Seed Oil(1), Linum Usitatissimum (Linseed) Seed Oil(1), Prunus Amygdalus Dulcis (Sweet Almond) Oil(1), Rosa Canina Fruit Oil(1), Arnica Montana Flower Extract(1), Calendula Officinalis Flower Extract(1), Camellia Sinensis Leaf Extract (White Tea)(1), Chamomilla Recutita (Matricaria) Flower Extract(1), Citrus Limon (Lemon) Peel Extract (Lemon Bioflavonoids), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract(1), Olea Europaea (Olive) Leaf Extract(1), Saccharomyces/Xylinum/Black Tea Ferment(1), Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ascorbic Acid, Polyglyceryl-6 Distearate, Squalane, Tocopheryl Acetate, Xanthan Gum, Alcohol(1), Glyceryl Ca	ask_question
